name,short_name,scope,kind,local,start,end,total_lines,proof_start,proof_end,proof_lines,internal_callers_count,internal_callers,deps_count,deps,external_token_count,external_token_uses,external_name_collision,external_declaration_sites,public_root,public_closure,tactics,role,ownership,audit_action,audit_note,repository_reachability
listzz_strict_eqb,listzz_strict_eqb,top,Definition,False,88,93,6,,,0,3,listzz_strict_eqb_eq;listzz_strict_eq_eqb;listzzs_strict_eqb,1,list_beq,1,src/ISSWitness.v:56,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",affine/domain/access Boolean equality,PolyBase checker data layer,keep/organize,Keep domain-specific checks together; document strict structural versus extensional equality.,explicit external token root
listzz_strict_eqb_eq,listzz_strict_eqb_eq,top,Lemma,False,95,109,15,99,109,11,1,listzzs_strict_eqb_eq,1,listzz_strict_eqb,1,src/ISSWitness.v:65,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 3, ""eapply"": 4, ""eauto"": 1, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 1}",affine/domain/access Boolean equality,PolyBase checker data layer,keep/organize,Keep domain-specific checks together; document strict structural versus extensional equality.,explicit external token root
listzz_strict_eq_eqb,listzz_strict_eq_eqb,top,Lemma,False,111,125,15,115,125,11,1,listzzs_strict_eq_eqb,1,listzz_strict_eqb,0,,False,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 2, ""eapply"": 4, ""eauto"": 1, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 1}",affine/domain/access Boolean equality,PolyBase checker data layer,keep/organize,Keep domain-specific checks together; document strict structural versus extensional equality.,dependency of explicit external root
listzzs_strict_eqb,listzzs_strict_eqb,top,Definition,False,127,128,2,,,0,3,listzzs_strict_eqb_eq;listzzs_strict_eq_eqb;access_strict_eqb,3,Domain;list_beq;listzz_strict_eqb,27,src/ISSRefinement.v:48;src/ISSRefinement.v:52;src/ISSRefinement.v:55;src/ISSRefinement.v:79;src/TilingBoolChecker.v:178;src/TilingBoolChecker.v:182;src/TilingBoolChecker.v:186;src/TilingBoolChecker.v:212;src/TilingBoolChecker.v:215;src/TilingBoolChecker.v:218;src/TilingBandScheduleValidator.v:262;src/TilingBandScheduleValidator.v:2765;src/TilingBandScheduleValidator.v:2843;src/TilingBandScheduleValidator.v:3499;src/TilingBandScheduleValidator.v:3586;src/TilingBandScheduleValidator.v:5401;src/TilingBandScheduleValidator.v:5417;src/TilingBandScheduleValidator.v:21059;src/TilingBandScheduleValidator.v:21236;src/ISSBoolChecker.v:206;src/PolyLang.v:881;src/AffineValidator.v:272;src/AffineValidator.v:318;src/AffineValidator.v:340;src/AffineValidator.v:342;src/AffineValidator.v:343;src/TilingCanonicalScheduleValidator.v:30,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",affine/domain/access Boolean equality,PolyBase checker data layer,keep/organize,Keep domain-specific checks together; document strict structural versus extensional equality.,explicit external token root
listzzs_strict_eqb_eq,listzzs_strict_eqb_eq,top,Lemma,False,130,139,10,134,139,6,1,access_strict_eqb_eq,2,listzz_strict_eqb_eq;listzzs_strict_eqb,17,src/ISSRefinement.v:79;src/TilingBoolChecker.v:259;src/TilingBoolChecker.v:260;src/TilingBoolChecker.v:261;src/TilingBoolChecker.v:303;src/TilingBoolChecker.v:304;src/TilingBoolChecker.v:305;src/TilingBandScheduleValidator.v:5404;src/TilingBandScheduleValidator.v:5579;src/TilingBandScheduleValidator.v:6123;src/TilingBandScheduleValidator.v:22636;src/ISSBoolChecker.v:225;src/AffineValidator.v:870;src/AffineValidator.v:1030;src/AffineValidator.v:1032;src/AffineValidator.v:1033;src/TilingCanonicalScheduleValidator.v:68,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 2, ""eauto"": 1, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 1}",affine/domain/access Boolean equality,PolyBase checker data layer,keep/organize,Keep domain-specific checks together; document strict structural versus extensional equality.,explicit external token root
listzzs_strict_eq_eqb,listzzs_strict_eq_eqb,top,Lemma,False,141,152,12,145,150,6,1,access_strict_eq_eqb,2,listzz_strict_eq_eqb;listzzs_strict_eqb,0,,False,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 2, ""eauto"": 1, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 1, ""unfold"": 1}",affine/domain/access Boolean equality,PolyBase checker data layer,keep/organize,Keep domain-specific checks together; document strict structural versus extensional equality.,dependency of explicit external root
AffineFunction,AffineFunction,top,Definition,False,153,154,2,,,0,4,Schedule;Transformation;AccessFunction;make_poly_eq,0,,14,src/TilingRelation.v:40;src/TilingRelation.v:48;src/TilingRelation.v:57;src/AffineValidator.v:469;src/AffineValidator.v:474;src/AffineValidator.v:541;src/AffineValidator.v:5149;samples/CSample1.v:116;samples/CSample2.v:130;samples/CSample2.v:261;samples/CSample3.v:91;samples/CSample3.v:315;samples/CSample3.v:494;samples/CSample3.v:634,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",polyhedral core type/alias,PolyBase public foundation,keep,Widely consumed foundational API; organize under explicit type sections.,explicit external token root
Schedule,Schedule,top,Definition,False,156,156,1,,,0,9,make_poly_lt0_l;make_poly_lt0_r;make_poly_gt0_l;make_poly_gt0_r;make_poly_lt;make_poly_gt;make_poly_all0_l;make_poly_all0_r;make_poly_ge,1,AffineFunction,145,src/TilingRelation.v:74;src/Extractor.v:1420;src/Extractor.v:1469;src/Extractor.v:1750;src/TilingBandMixedSecondValidator.v:32;src/TilingBandScheduleValidator.v:183;src/TilingBandScheduleValidator.v:200;src/TilingBandScheduleValidator.v:229;src/TilingBandScheduleValidator.v:230;src/TilingBandScheduleValidator.v:251;src/TilingBandScheduleValidator.v:255;src/TilingBandScheduleValidator.v:269;src/TilingBandScheduleValidator.v:274;src/TilingBandScheduleValidator.v:279;src/TilingBandScheduleValidator.v:284;src/TilingBandScheduleValidator.v:288;src/TilingBandScheduleValidator.v:478;src/TilingBandScheduleValidator.v:502;src/TilingBandScheduleValidator.v:679;src/TilingBandScheduleValidator.v:2761;src/TilingBandScheduleValidator.v:2771;src/TilingBandScheduleValidator.v:2775;src/TilingBandScheduleValidator.v:2866;src/TilingBandScheduleValidator.v:3408;src/TilingBandScheduleValidator.v:3415;src/TilingBandScheduleValidator.v:3416;src/TilingBandScheduleValidator.v:3438;src/TilingBandScheduleValidator.v:3439;src/TilingBandScheduleValidator.v:3463;src/TilingBandScheduleValidator.v:3464;src/TilingBandScheduleValidator.v:3473;src/TilingBandScheduleValidator.v:3485;src/TilingBandScheduleValidator.v:3494;src/TilingBandScheduleValidator.v:3510;src/TilingBandScheduleValidator.v:3585;src/TilingBandScheduleValidator.v:9609;src/TilingBandScheduleValidator.v:9614;src/TilingBandScheduleValidator.v:14393;src/TilingBandScheduleValidator.v:14400;src/TilingBandScheduleValidator.v:14406;src/TilingBandScheduleValidator.v:14422;src/TilingBandScheduleValidator.v:14431;src/TilingBandScheduleValidator.v:14492;src/TilingBandScheduleValidator.v:14501;src/TilingBandScheduleValidator.v:14511;src/TilingBandScheduleValidator.v:14917;src/TilingBandScheduleValidator.v:15145;src/TilingBandScheduleValidator.v:15181;src/TilingBandScheduleValidator.v:15191;src/TilingBandScheduleValidator.v:15197;src/TilingBandScheduleValidator.v:15204;src/TilingBandScheduleValidator.v:15205;src/TilingBandScheduleValidator.v:15226;src/TilingBandScheduleValidator.v:15245;src/TilingBandScheduleValidator.v:15246;src/TilingBandScheduleValidator.v:15255;src/TilingBandScheduleValidator.v:15257;src/TilingBandScheduleValidator.v:15271;src/TilingBandScheduleValidator.v:15273;src/TilingBandScheduleValidator.v:15285;src/TilingBandScheduleValidator.v:15287;src/TilingBandScheduleValidator.v:15301;src/TilingBandScheduleValidator.v:15323;src/TilingBandScheduleValidator.v:15341;src/TilingBandScheduleValidator.v:15389;src/TilingBandScheduleValidator.v:15395;src/TilingBandScheduleValidator.v:15816;src/TilingBandScheduleValidator.v:15867;src/TilingBandScheduleValidator.v:15919;src/TilingBandScheduleValidator.v:16372;src/TilingBandScheduleValidator.v:17292;src/TilingBandScheduleValidator.v:17666;src/TilingBandScheduleValidator.v:17680;src/TilingBandScheduleValidator.v:17694;src/TilingBandScheduleValidator.v:17708;src/TilingBandScheduleValidator.v:21070;src/TilingBandScheduleValidator.v:21104;src/TilingBandScheduleValidator.v:21154;src/TilingBandScheduleValidator.v:21186;src/TilingBandScheduleValidator.v:21187;src/TilingBandScheduleValidator.v:21220;src/TilingBandScheduleValidator.v:21244;src/TilingBandScheduleValidator.v:21698;src/TilingBandScheduleValidator.v:21705;src/TilingBandScheduleValidator.v:24260;src/TilingBandScheduleValidator.v:24269;src/TilingBandScheduleValidator.v:24276;src/TilingBandScheduleValidator.v:24284;src/TilingBandScheduleValidator.v:24294;src/TilingBandScheduleValidator.v:24318;src/TilingBandScheduleValidator.v:24348;src/TilingBandScheduleValidator.v:24360;src/TilingBandScheduleValidator.v:24387;src/TilingBandScheduleValidator.v:24415;src/TilingBandScheduleValidator.v:24433;src/TilingBandScheduleValidator.v:24455;src/TilingBandScheduleValidator.v:24474;src/TilingBandScheduleValidator.v:24485;src/TilingBandScheduleValidator.v:24504;src/TilingBandScheduleValidator.v:24505;src/TilingBandScheduleValidator.v:24511;src/TilingBandScheduleValidator.v:24512;src/TilingBandScheduleValidator.v:24658;src/TilingBandScheduleValidator.v:24688;src/TilingBandScheduleValidator.v:24717;src/TilingBandScheduleValidator.v:24741;src/TilingBandScheduleValidator.v:26587;src/TilingBandScheduleValidator.v:26601;src/TilingBandScheduleValidator.v:26615;src/TilingBandScheduleValidator.v:26629;src/TilingBandPhaseScalarValidator.v:35;src/PolyLang.v:52;src/PolyLang.v:205;src/PolyLang.v:208;src/PolyLang.v:234;src/PolyLang.v:250;src/PolyLang.v:252;src/PolyLang.v:270;src/PolyLang.v:283;src/PolyLang.v:291;src/PolyLang.v:619;src/PolyLang.v:628;src/PolyLang.v:632;src/PolyLang.v:644;src/PolyLang.v:660;src/PolyLang.v:681;src/PolyLang.v:694;src/PolyLang.v:704;src/PolyLang.v:725;src/PolyLang.v:746;src/PolyLang.v:754;src/PolyLang.v:762;src/PolyLang.v:767;src/PolyLang.v:768;src/PolyLang.v:773;src/PolyLang.v:811;src/PolyLang.v:812;src/PolyLang.v:848;src/PolyLang.v:855;src/PolyLang.v:869;src/PolyLang.v:876;src/PolyLang.v:2780;src/PolyLang.v:3996;src/PolyLang.v:3997;src/WitnessedPolyLangDesign.v:18,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",polyhedral core type/alias,PolyBase public foundation,keep,Widely consumed foundational API; organize under explicit type sections.,explicit external token root
Transformation,Transformation,top,Definition,False,157,157,1,,,0,0,,1,AffineFunction,23,src/TilingRelation.v:390;src/PointWitness.v:82;src/PointWitness.v:91;src/PointWitness.v:146;src/PointWitness.v:158;src/PolyLang.v:54;src/PolyLang.v:55;src/PolyLang.v:1087;src/PolyLang.v:1223;src/PolyLang.v:1244;src/PolyLang.v:1248;src/PolyLang.v:1252;src/PolyLang.v:1257;src/PolyLang.v:1759;src/PolyLang.v:1760;src/PolyLang.v:3994;src/PolyLang.v:3995;src/AffineValidator.v:1105;src/AffineValidator.v:1186;src/WitnessedPolyLangDesign.v:19;src/WitnessedPolyLangDesign.v:41;src/WitnessedPolyLangDesign.v:45;polygen/InstanceListSema.v:40,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",polyhedral core type/alias,PolyBase public foundation,keep,Widely consumed foundational API; organize under explicit type sections.,explicit external token root
AccessFunction,AccessFunction,top,Definition,False,158,158,1,,,0,7,aff_func_dummy;access_eqb;opt_access_subset;access_strict_eqb;access_list_strict_eqb;exact_cell;valid_access_cells,1,AffineFunction,100,src/TilingRelation.v:69;src/TilingRelation.v:244;src/TilingRelation.v:245;src/Extractor.v:276;src/Extractor.v:279;src/Extractor.v:501;src/Extractor.v:504;src/Extractor.v:681;src/Extractor.v:682;src/TInstr.v:52;src/TInstr.v:107;src/TInstr.v:108;src/TInstr.v:110;src/TInstr.v:116;src/PrepareCodegen.v:43;src/PrepareCodegen.v:47;src/WitnessedInstrDesign.v:20;src/WitnessedInstrDesign.v:32;src/PolyLang.v:56;src/PolyLang.v:57;src/PolyLang.v:314;src/PolyLang.v:1019;src/PolyLang.v:1034;src/PolyLang.v:1045;src/PolyLang.v:1148;src/PolyLang.v:1155;src/PolyLang.v:3998;src/PolyLang.v:3999;src/PolyLang.v:4033;src/PolyLang.v:4041;src/AffineValidator.v:199;src/AffineValidator.v:204;src/AffineValidator.v:256;src/AffineValidator.v:262;src/AffineValidator.v:307;src/AffineValidator.v:313;src/AffineValidator.v:469;src/AffineValidator.v:474;src/AffineValidator.v:541;src/AffineValidator.v:805;src/AffineValidator.v:815;src/AffineValidator.v:839;src/AffineValidator.v:856;src/AffineValidator.v:2450;src/AffineValidator.v:2459;src/AffineValidator.v:2468;src/AffineValidator.v:2587;src/AffineValidator.v:2589;src/AffineValidator.v:2604;src/AffineValidator.v:2606;src/AffineValidator.v:2643;src/AffineValidator.v:2645;src/AffineValidator.v:2661;src/AffineValidator.v:2663;src/AffineValidator.v:5148;src/CInstr.v:691;src/CInstr.v:1250;src/CInstr.v:1260;src/CInstr.v:1283;src/CInstr.v:1293;src/CInstr.v:1316;src/CInstr.v:1324;src/CInstr.v:1327;src/CInstr.v:1334;src/CInstr.v:1351;src/CInstr.v:1365;src/WitnessedPolyLangDesign.v:21;src/WitnessedPolyLangDesign.v:22;polygen/InstrTy.v:61;polygen/InstrTy.v:62;polygen/InstrTy.v:65;polygen/InstrTy.v:74;syntax/SInstr.v:183;syntax/SInstr.v:195;syntax/SInstr.v:226;syntax/SInstr.v:230;syntax/SInstr.v:585;syntax/SInstr.v:591;syntax/SInstr.v:598;syntax/SInstr.v:605;syntax/SInstr.v:635;syntax/SInstr.v:644;syntax/SInstr.v:656;syntax/SInstr.v:660;syntax/SInstr.v:686;syntax/SInstr.v:689;samples/CSample1.v:136;samples/CSample1.v:179;samples/CSample2.v:150;samples/CSample2.v:182;samples/CSample2.v:279;samples/CSample2.v:311;samples/CSample3.v:109;samples/CSample3.v:152;samples/CSample3.v:333;samples/CSample3.v:368;samples/CSample3.v:510;samples/CSample3.v:533;samples/CSample3.v:651;samples/CSample3.v:686,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",polyhedral core type/alias,PolyBase public foundation,keep,Widely consumed foundational API; organize under explicit type sections.,explicit external token root
aff_func_dummy,aff_func_dummy,top,Definition,False,159,159,1,,,0,0,,1,AccessFunction,4,src/PolyLang.v:68;src/PolyLang.v:69;src/PolyLang.v:4011;src/PolyLang.v:4012,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",polyhedral core type/alias,PolyBase public foundation,keep,Widely consumed foundational API; organize under explicit type sections.,explicit external token root
listzzs_eqb,listzzs_eqb,top,Definition,False,161,168,8,,,0,1,access_eqb,0,,1,syntax/SInstr.v:559,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",affine/domain/access Boolean equality,PolyBase checker data layer,keep/organize,Keep domain-specific checks together; document strict structural versus extensional equality.,explicit external token root
access_eqb,access_eqb,top,Definition,False,170,180,11,,,0,1,opt_access_subset,2,AccessFunction;listzzs_eqb,2,syntax/SInstr.v:575;syntax/SInstr.v:657,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",affine/domain/access Boolean equality,PolyBase checker data layer,keep/organize,Keep domain-specific checks together; document strict structural versus extensional equality.,explicit external token root
