kind,visibility,name,qualified_name,module_path,section_path,mutual_parent,proof_group,shared_proof_owner,decl_line,decl_end_line,declaration_span_lines,proof_line,proof_end_line,proof_terminator,proof_span_lines,proof_body_nonblank_lines,internal_dependencies_count,internal_dependencies,internal_callers_count,internal_callers,qualified_external_use_count,qualified_external_uses,confirmed_external_root,reachable_from_any_external_root,route_root,reachable_from_route_root,correctness_root,reachable_from_correctness_root,config_root,reachable_from_config_root,loopjam_root,reachable_from_loopjam_root,family,responsibility,theory_complexity,duplication_or_brittleness,recommended_refactor,priority,refactor_risk,api_constraint
Fixpoint,Public,erase_to_loop_stmt,ParallelCodegen.erase_to_loop_stmt,ParallelCodegen,,,erase_to_loop_stmt,yes,114,126,13,116,125,Defined,10,8,3,erase_expr;erase_test;erase_to_loop_stmts,11,erase_parallelize_dim_stmt_to_loop_eq;erase_parallelize_dim_stmts_to_loop_eq;erase_stmt_sem_goal;erase_tag_loop_stmt_at_eq;erase_tag_loop_stmts_at_eq;erase_to_loop;erase_to_loop_stmt_semantics;erase_to_loop_stmt_semantics_mutual;erase_to_loop_stmts;erase_vectorize_dim_stmt_to_loop_eq;erase_vectorize_dim_stmts_to_loop_eq,0,,no,yes,no,yes,no,yes,no,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
with-Fixpoint,Public,erase_to_loop_stmts,ParallelCodegen.erase_to_loop_stmts,ParallelCodegen,,erase_to_loop_stmt,erase_to_loop_stmt,no,115,126,12,116,125,Defined,10,8,3,erase_expr;erase_test;erase_to_loop_stmt,9,erase_parallelize_dim_stmt_to_loop_eq;erase_parallelize_dim_stmts_to_loop_eq;erase_stmts_sem_goal;erase_tag_loop_stmt_at_eq;erase_tag_loop_stmts_at_eq;erase_to_loop_stmt;erase_to_loop_stmts_semantics;erase_vectorize_dim_stmt_to_loop_eq;erase_vectorize_dim_stmts_to_loop_eq,0,,no,yes,no,yes,no,yes,no,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
Definition,Public,erase_to_loop,ParallelCodegen.erase_to_loop,ParallelCodegen,,,erase_to_loop,yes,127,131,5,,,,0,0,1,erase_to_loop_stmt,13,annotated_codegen_erase_eq;annotated_codegen_many_erase_eq;annotated_codegen_many_raw_erase_eq;annotated_codegen_raw_erase_eq;erase_parallelize_certified_dims_to_loop_eq;erase_parallelize_dim_to_loop_eq;erase_tag_loop_eq;erase_to_loop_semantics;erase_vectorize_dim_to_loop_eq;tagged_prepared_codegen_erase_eq;tagged_prepared_codegen_raw_erase_eq;vector_annotated_codegen_erase_eq;vector_annotated_codegen_raw_erase_eq,0,,no,yes,no,yes,no,yes,no,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
Fixpoint,Public,tagged_from_depth_stmt,ParallelCodegen.tagged_from_depth_stmt,ParallelCodegen,,,tagged_from_depth_stmt,yes,132,144,13,134,143,Defined,10,8,1,tagged_from_depth_stmts,4,tag_loop_stmt_tagged_from_depth;tag_loop_stmts_tagged_from_depth;tagged_from_depth_stmts;tagged_from_top,0,,no,no,no,no,no,no,no,no,no,no,Origin-depth tagging contract,Bridge between validator dimensions and generated-loop depths,Simple structural invariant with potentially central integration purpose.,Repository-unreachable exported chain; validator certificate soundness is not connected to codegen correctness.,Preserve names/types. Integrate into a stronger certificate-to-execution theorem or explicitly classify as retained compatibility surface.,P0 contract audit,high,Exported but repository-unreachable; preserve name and type unless an explicit API-breaking decision is made.
with-Fixpoint,Public,tagged_from_depth_stmts,ParallelCodegen.tagged_from_depth_stmts,ParallelCodegen,,tagged_from_depth_stmt,tagged_from_depth_stmt,no,133,144,12,134,143,Defined,10,8,1,tagged_from_depth_stmt,3,tag_loop_stmt_tagged_from_depth;tag_loop_stmts_tagged_from_depth;tagged_from_depth_stmt,0,,no,no,no,no,no,no,no,no,no,no,Origin-depth tagging contract,Bridge between validator dimensions and generated-loop depths,Simple structural invariant with potentially central integration purpose.,Repository-unreachable exported chain; validator certificate soundness is not connected to codegen correctness.,Preserve names/types. Integrate into a stronger certificate-to-execution theorem or explicitly classify as retained compatibility surface.,P0 contract audit,high,Exported but repository-unreachable; preserve name and type unless an explicit API-breaking decision is made.
Definition,Public,tagged_from_top,ParallelCodegen.tagged_from_top,ParallelCodegen,,,tagged_from_top,yes,145,149,5,,,,0,0,1,tagged_from_depth_stmt,2,cmd_origin_tagged;codegen_matches_current_dims,0,,no,no,no,no,no,no,no,no,no,no,Origin-depth tagging contract,Bridge between validator dimensions and generated-loop depths,Simple structural invariant with potentially central integration purpose.,Repository-unreachable exported chain; validator certificate soundness is not connected to codegen correctness.,Preserve names/types. Integrate into a stronger certificate-to-execution theorem or explicitly classify as retained compatibility surface.,P0 contract audit,high,Exported but repository-unreachable; preserve name and type unless an explicit API-breaking decision is made.
Fixpoint,Public,tag_loop_stmt_tagged_from_depth,ParallelCodegen.tag_loop_stmt_tagged_from_depth,ParallelCodegen,,,tag_loop_stmt_tagged_from_depth,yes,150,168,19,156,167,Qed,12,10,5,tag_loop_stmt_at;tag_loop_stmts_at;tag_loop_stmts_tagged_from_depth;tagged_from_depth_stmt;tagged_from_depth_stmts,2,tag_loop_stmts_tagged_from_depth;tagged_prepared_codegen_matches,0,,no,no,no,no,no,no,no,no,no,no,Origin-depth tagging contract,Bridge between validator dimensions and generated-loop depths,Simple structural invariant with potentially central integration purpose.,Repository-unreachable exported chain; validator certificate soundness is not connected to codegen correctness.,Preserve names/types. Integrate into a stronger certificate-to-execution theorem or explicitly classify as retained compatibility surface.,P0 contract audit,high,Exported but repository-unreachable; preserve name and type unless an explicit API-breaking decision is made.
with-Fixpoint,Public,tag_loop_stmts_tagged_from_depth,ParallelCodegen.tag_loop_stmts_tagged_from_depth,ParallelCodegen,,tag_loop_stmt_tagged_from_depth,tag_loop_stmt_tagged_from_depth,no,153,168,16,156,167,Qed,12,10,5,tag_loop_stmt_at;tag_loop_stmt_tagged_from_depth;tag_loop_stmts_at;tagged_from_depth_stmt;tagged_from_depth_stmts,1,tag_loop_stmt_tagged_from_depth,0,,no,no,no,no,no,no,no,no,no,no,Origin-depth tagging contract,Bridge between validator dimensions and generated-loop depths,Simple structural invariant with potentially central integration purpose.,Repository-unreachable exported chain; validator certificate soundness is not connected to codegen correctness.,Preserve names/types. Integrate into a stronger certificate-to-execution theorem or explicitly classify as retained compatibility surface.,P0 contract audit,high,Exported but repository-unreachable; preserve name and type unless an explicit API-breaking decision is made.
Fixpoint,Public,erase_parallelize_dim_stmt_to_loop_eq,ParallelCodegen.erase_parallelize_dim_stmt_to_loop_eq,ParallelCodegen,,,erase_parallelize_dim_stmt_to_loop_eq,yes,169,186,18,175,185,Qed,11,9,3,erase_parallelize_dim_stmts_to_loop_eq;erase_to_loop_stmt;erase_to_loop_stmts,2,erase_parallelize_dim_stmts_to_loop_eq;erase_parallelize_dim_to_loop_eq,0,,no,yes,no,yes,no,yes,no,yes,no,no,Annotation erasure preservation,Prefer ParallelLoop annotation library; wrappers may remain here,Structural fact that changing SeqMode to ParMode/VecMode does not alter erased loop syntax.,"Parallel and vector mutual proofs are line-for-line duplicates, while ParallelLoop already proves analogous erasure lemmas for its own erased AST.",Add one local generic mode-change/erasure bridge or derive through ParallelLoop erasure; retain every public theorem as a one-line wrapper.,P1 deduplicate,medium,Directly or transitively used by a qualified external root; preserve name and type.
with-Fixpoint,Public,erase_parallelize_dim_stmts_to_loop_eq,ParallelCodegen.erase_parallelize_dim_stmts_to_loop_eq,ParallelCodegen,,erase_parallelize_dim_stmt_to_loop_eq,erase_parallelize_dim_stmt_to_loop_eq,no,172,186,15,175,185,Qed,11,9,3,erase_parallelize_dim_stmt_to_loop_eq;erase_to_loop_stmt;erase_to_loop_stmts,1,erase_parallelize_dim_stmt_to_loop_eq,0,,no,yes,no,yes,no,yes,no,yes,no,no,Annotation erasure preservation,Prefer ParallelLoop annotation library; wrappers may remain here,Structural fact that changing SeqMode to ParMode/VecMode does not alter erased loop syntax.,"Parallel and vector mutual proofs are line-for-line duplicates, while ParallelLoop already proves analogous erasure lemmas for its own erased AST.",Add one local generic mode-change/erasure bridge or derive through ParallelLoop erasure; retain every public theorem as a one-line wrapper.,P1 deduplicate,medium,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,erase_parallelize_dim_to_loop_eq,ParallelCodegen.erase_parallelize_dim_to_loop_eq,ParallelCodegen,,,erase_parallelize_dim_to_loop_eq,yes,187,195,9,190,194,Qed,5,3,2,erase_parallelize_dim_stmt_to_loop_eq;erase_to_loop,3,annotated_codegen_erase_eq;annotated_codegen_raw_erase_eq;erase_parallelize_certified_dims_to_loop_eq,0,,no,yes,no,yes,no,yes,no,yes,no,no,Annotation erasure preservation,Prefer ParallelLoop annotation library; wrappers may remain here,Structural fact that changing SeqMode to ParMode/VecMode does not alter erased loop syntax.,"Parallel and vector mutual proofs are line-for-line duplicates, while ParallelLoop already proves analogous erasure lemmas for its own erased AST.",Add one local generic mode-change/erasure bridge or derive through ParallelLoop erasure; retain every public theorem as a one-line wrapper.,P1 deduplicate,medium,Directly or transitively used by a qualified external root; preserve name and type.
Fixpoint,Public,erase_vectorize_dim_stmt_to_loop_eq,ParallelCodegen.erase_vectorize_dim_stmt_to_loop_eq,ParallelCodegen,,,erase_vectorize_dim_stmt_to_loop_eq,yes,196,213,18,202,212,Qed,11,9,3,erase_to_loop_stmt;erase_to_loop_stmts;erase_vectorize_dim_stmts_to_loop_eq,2,erase_vectorize_dim_stmts_to_loop_eq;erase_vectorize_dim_to_loop_eq,0,,no,yes,no,yes,no,no,no,no,no,no,Annotation erasure preservation,Prefer ParallelLoop annotation library; wrappers may remain here,Structural fact that changing SeqMode to ParMode/VecMode does not alter erased loop syntax.,"Parallel and vector mutual proofs are line-for-line duplicates, while ParallelLoop already proves analogous erasure lemmas for its own erased AST.",Add one local generic mode-change/erasure bridge or derive through ParallelLoop erasure; retain every public theorem as a one-line wrapper.,P1 deduplicate,medium,Directly or transitively used by a qualified external root; preserve name and type.
with-Fixpoint,Public,erase_vectorize_dim_stmts_to_loop_eq,ParallelCodegen.erase_vectorize_dim_stmts_to_loop_eq,ParallelCodegen,,erase_vectorize_dim_stmt_to_loop_eq,erase_vectorize_dim_stmt_to_loop_eq,no,199,213,15,202,212,Qed,11,9,3,erase_to_loop_stmt;erase_to_loop_stmts;erase_vectorize_dim_stmt_to_loop_eq,1,erase_vectorize_dim_stmt_to_loop_eq,0,,no,yes,no,yes,no,no,no,no,no,no,Annotation erasure preservation,Prefer ParallelLoop annotation library; wrappers may remain here,Structural fact that changing SeqMode to ParMode/VecMode does not alter erased loop syntax.,"Parallel and vector mutual proofs are line-for-line duplicates, while ParallelLoop already proves analogous erasure lemmas for its own erased AST.",Add one local generic mode-change/erasure bridge or derive through ParallelLoop erasure; retain every public theorem as a one-line wrapper.,P1 deduplicate,medium,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,erase_vectorize_dim_to_loop_eq,ParallelCodegen.erase_vectorize_dim_to_loop_eq,ParallelCodegen,,,erase_vectorize_dim_to_loop_eq,yes,214,222,9,217,221,Qed,5,3,2,erase_to_loop;erase_vectorize_dim_stmt_to_loop_eq,2,vector_annotated_codegen_erase_eq;vector_annotated_codegen_raw_erase_eq,0,,no,yes,no,yes,no,no,no,no,no,no,Annotation erasure preservation,Prefer ParallelLoop annotation library; wrappers may remain here,Structural fact that changing SeqMode to ParMode/VecMode does not alter erased loop syntax.,"Parallel and vector mutual proofs are line-for-line duplicates, while ParallelLoop already proves analogous erasure lemmas for its own erased AST.",Add one local generic mode-change/erasure bridge or derive through ParallelLoop erasure; retain every public theorem as a one-line wrapper.,P1 deduplicate,medium,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,erase_tag_loop_stmt_at_eq,ParallelCodegen.erase_tag_loop_stmt_at_eq,ParallelCodegen,,,erase_tag_loop_stmt_at_eq,yes,223,239,17,229,238,Qed,10,8,8,erase_tag_expr_eq;erase_tag_loop_stmts_at_eq;erase_tag_test_eq;erase_to_loop_stmt;erase_to_loop_stmts;map_erase_tag_expr_eq;tag_loop_stmt_at;tag_loop_stmts_at,2,erase_tag_loop_eq;erase_tag_loop_stmts_at_eq,0,,no,yes,no,yes,no,yes,no,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
with-Lemma,Public,erase_tag_loop_stmts_at_eq,ParallelCodegen.erase_tag_loop_stmts_at_eq,ParallelCodegen,,erase_tag_loop_stmt_at_eq,erase_tag_loop_stmt_at_eq,no,226,239,14,229,238,Qed,10,8,8,erase_tag_expr_eq;erase_tag_loop_stmt_at_eq;erase_tag_test_eq;erase_to_loop_stmt;erase_to_loop_stmts;map_erase_tag_expr_eq;tag_loop_stmt_at;tag_loop_stmts_at,1,erase_tag_loop_stmt_at_eq,0,,no,yes,no,yes,no,yes,no,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,erase_tag_loop_eq,ParallelCodegen.erase_tag_loop_eq,ParallelCodegen,,,erase_tag_loop_eq,yes,240,248,9,243,247,Qed,5,3,3,erase_tag_loop_stmt_at_eq;erase_to_loop;tag_loop,2,tagged_prepared_codegen_erase_eq;tagged_prepared_codegen_raw_erase_eq,2,driver/ExtractedPipelineCorrect.v:112:ParallelCodegenCore.erase_tag_loop_eq;driver/VerifiedParallelCompilerConfig.v:273:ParallelCodegenCore.erase_tag_loop_eq,yes,yes,no,yes,yes,yes,yes,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,erase_expr_eval_eq,ParallelCodegen.erase_expr_eval_eq,ParallelCodegen,,,erase_expr_eval_eq,yes,249,256,8,253,255,Qed,3,1,1,erase_expr,3,erase_expr_list_map_eval_eq;erase_test_eval_eq;erase_to_loop_stmt_semantics_mutual,0,,no,yes,no,yes,no,yes,no,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,erase_expr_list_map_eval_eq,ParallelCodegen.erase_expr_list_map_eval_eq,ParallelCodegen,,,erase_expr_list_map_eval_eq,yes,257,266,10,261,265,Qed,5,3,2,erase_expr;erase_expr_eval_eq,1,erase_to_loop_stmt_semantics_mutual,0,,no,yes,no,yes,no,yes,no,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,erase_test_eval_eq,ParallelCodegen.erase_test_eval_eq,ParallelCodegen,,,erase_test_eval_eq,yes,267,274,8,271,273,Qed,3,1,2,erase_expr_eval_eq;erase_test,1,erase_to_loop_stmt_semantics_mutual,0,,no,yes,no,yes,no,yes,no,yes,no,no,Loop AST conversion and erasure,ParallelLoop/Loop adapter owned by code generation,Structural recursion or homomorphic evaluation preservation; low theory complexity.,Mostly direct constructor cases; no problematic automation.,Retain the public adapter. Keep mutual definitions explicit; only share small list-map facts.,retain,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,iter_semantics_refine_exact,ParallelCodegen.iter_semantics_refine_exact,ParallelCodegen,,,iter_semantics_refine_exact,yes,275,293,19,281,292,Qed,12,10,0,,1,erase_to_loop_stmt_semantics_mutual,0,,no,yes,no,yes,no,yes,no,yes,no,no,Erased-loop semantic transport,Cross-functor semantic adapter; generic iteration monotonicity belongs in IterSem utility,One genuine mutual structural proof; it transports the same execution across isomorphic Loop instantiations.,Projection/scheme wrapper around the mutual semantic transport proof.,Move or duplicate-free expose the generic relation-monotonicity lemma in the IterSem utility.,P1 ownership,low,Directly or transitively used by a qualified external root; preserve name and type.
Scheme,Public,pl_stmt_mutind,ParallelCodegen.pl_stmt_mutind,ParallelCodegen,,,pl_stmt_mutind,yes,294,295,2,,,,0,0,0,,1,pl_stmt_stmts_mutind,0,,no,yes,no,yes,no,yes,no,yes,no,no,Erased-loop semantic transport,Cross-functor semantic adapter; generic iteration monotonicity belongs in IterSem utility,One genuine mutual structural proof; it transports the same execution across isomorphic Loop instantiations.,Projection/scheme wrapper around the mutual semantic transport proof.,Retain the public name/type; keep this as a thin projection or top-level semantic wrapper.,P1 ownership,low,Directly or transitively used by a qualified external root; preserve name and type.
Combined Scheme,Public,pl_stmt_stmts_mutind,ParallelCodegen.pl_stmt_stmts_mutind,ParallelCodegen,,,pl_stmt_stmts_mutind,yes,296,297,2,,,,0,0,1,pl_stmt_mutind,1,erase_to_loop_stmt_semantics_mutual,0,,no,yes,no,yes,no,yes,no,yes,no,no,Erased-loop semantic transport,Cross-functor semantic adapter; generic iteration monotonicity belongs in IterSem utility,One genuine mutual structural proof; it transports the same execution across isomorphic Loop instantiations.,Projection/scheme wrapper around the mutual semantic transport proof.,Retain the public name/type; keep this as a thin projection or top-level semantic wrapper.,P1 ownership,low,Directly or transitively used by a qualified external root; preserve name and type.
Definition,Public,erase_stmt_sem_goal,ParallelCodegen.erase_stmt_sem_goal,ParallelCodegen,,,erase_stmt_sem_goal,yes,298,302,5,,,,0,0,1,erase_to_loop_stmt,1,erase_to_loop_stmt_semantics_mutual,0,,no,yes,no,yes,no,yes,no,yes,no,no,Erased-loop semantic transport,Cross-functor semantic adapter; generic iteration monotonicity belongs in IterSem utility,One genuine mutual structural proof; it transports the same execution across isomorphic Loop instantiations.,Projection/scheme wrapper around the mutual semantic transport proof.,Retain the public name/type; keep this as a thin projection or top-level semantic wrapper.,P1 ownership,low,Directly or transitively used by a qualified external root; preserve name and type.
Definition,Public,erase_stmts_sem_goal,ParallelCodegen.erase_stmts_sem_goal,ParallelCodegen,,,erase_stmts_sem_goal,yes,303,308,6,,,,0,0,1,erase_to_loop_stmts,1,erase_to_loop_stmt_semantics_mutual,0,,no,yes,no,yes,no,yes,no,yes,no,no,Erased-loop semantic transport,Cross-functor semantic adapter; generic iteration monotonicity belongs in IterSem utility,One genuine mutual structural proof; it transports the same execution across isomorphic Loop instantiations.,Projection/scheme wrapper around the mutual semantic transport proof.,Retain the public name/type; keep this as a thin projection or top-level semantic wrapper.,P1 ownership,low,Directly or transitively used by a qualified external root; preserve name and type.
