kind,visibility,name,qualified_name,module_path,section_path,mutual_parent,decl_line,decl_end_line,declaration_span_lines,proof_line,proof_end_line,proof_terminator,proof_span_lines,proof_body_nonblank_lines,internal_dependencies_count,internal_dependencies,internal_callers_count,internal_callers,qualified_external_use_count,qualified_external_uses,confirmed_external_root,reachable_from_any_external_root,checker_root,reachable_from_checker_root,semantics_root,reachable_from_semantics_root,validator_root,reachable_from_validator_root,family,owner,recommended_refactor,priority,refactor_risk,api_constraint
Definition,Public,iss_signed_cut_constraint,ISSRefinement.iss_signed_cut_constraint,ISSRefinement,,,139,147,9,,,,0,0,0,,2,iss_piece_constraints;iss_signed_cut_constraint_correct,0,,no,yes,no,yes,no,yes,no,yes,Cut encoding,ISS cut-to-polyhedron encoding and semantic equivalence,Keep ISS-specific encoding and induction here; reuse low-level dot-product facts.,P1 local cleanup,low,Transitively used by an external root; preserve name and type.
Fixpoint,Public,iss_piece_constraints,ISSRefinement.iss_piece_constraints,ISSRefinement,,,148,160,13,,,,0,0,1,iss_signed_cut_constraint,3,iss_piece_constraints_correct;stmt_domain_matches_cuts;stmt_domain_matches_cuts_in_domain_iff,3,src/ISSBoolChecker.v:204:Refine.iss_piece_constraints;src/ISSBoolChecker.v:221:Refine.iss_piece_constraints;src/ISSCutSemantics.v:515:Refine.iss_piece_constraints,yes,yes,yes,yes,yes,yes,no,yes,Cut encoding,ISS cut-to-polyhedron encoding and semantic equivalence,Keep ISS-specific encoding and induction here; reuse low-level dot-product facts.,P1 local cleanup,low,Direct qualified repository use; preserve name and type.
Lemma,Public,iss_cut_lt0_constraint_arith,ISSRefinement.iss_cut_lt0_constraint_arith,ISSRefinement,,,161,170,11,165,170,Qed,6,4,0,,1,iss_signed_cut_constraint_correct,0,,no,yes,no,no,no,yes,no,no,Cut encoding,ISS cut-to-polyhedron encoding and semantic equivalence,Keep ISS-specific encoding and induction here; reuse low-level dot-product facts.,P1 local cleanup,low,Transitively used by an external root; preserve name and type.
Lemma,Public,iss_cut_ge0_constraint_arith,ISSRefinement.iss_cut_ge0_constraint_arith,ISSRefinement,,,172,181,11,176,181,Qed,6,4,0,,1,iss_signed_cut_constraint_correct,0,,no,yes,no,no,no,yes,no,no,Cut encoding,ISS cut-to-polyhedron encoding and semantic equivalence,Keep ISS-specific encoding and induction here; reuse low-level dot-product facts.,P1 local cleanup,low,Transitively used by an external root; preserve name and type.
Lemma,Public,dot_product_opp_right_local,ISSRefinement.dot_product_opp_right_local,ISSRefinement,,,183,191,10,186,191,Qed,6,4,0,,1,iss_signed_cut_constraint_correct,0,,no,yes,no,no,no,yes,no,no,Generic duplicate/specialization,Low-level list/linear-algebra utility,Use existing `PolyBase.dot_product_opp_r` and retain this name as a wrapper.,P0 exact reuse,low,Transitively used by an external root; preserve name and type.
Lemma,Public,iss_signed_cut_constraint_correct,ISSRefinement.iss_signed_cut_constraint_correct,ISSRefinement,,,193,209,18,197,209,Qed,13,11,5,dot_product_opp_right_local;iss_cut_ge0_constraint_arith;iss_cut_lt0_constraint_arith;iss_signed_cut_constraint;point_satisfies_iss_cut,1,iss_piece_constraints_correct,0,,no,yes,no,no,no,yes,no,no,Cut encoding,ISS cut-to-polyhedron encoding and semantic equivalence,Keep ISS-specific encoding and induction here; reuse low-level dot-product facts.,P1 local cleanup,low,Transitively used by an external root; preserve name and type.
Lemma,Public,iss_piece_constraints_correct,ISSRefinement.iss_piece_constraints_correct,ISSRefinement,,,211,244,37,216,244,Qed,29,27,3,iss_piece_constraints;iss_signed_cut_constraint_correct;point_satisfies_iss_cut,2,stmt_domain_cut_relation_cover;stmt_domain_matches_cuts_in_domain_iff,0,,no,yes,no,no,no,yes,no,no,Cut encoding,ISS cut-to-polyhedron encoding and semantic equivalence,Keep ISS-specific encoding and induction here; reuse low-level dot-product facts.,P1 local cleanup,low,Transitively used by an external root; preserve name and type.
Definition,Public,domains_all_subset,ISSRefinement.domains_all_subset,ISSRefinement,,,248,255,8,,,,0,0,1,point_in_pinstr_domain,3,parent_partition_properties;stmt_domain_cut_relation_all_subset;stmt_partition_refinement,0,,no,yes,no,no,no,yes,no,no,Partition specification,Public declarative ISS shape/refinement vocabulary,Keep definitions stable; they form the interface between checker and semantics.,retain,low,Transitively used by an external root; preserve name and type.
Definition,Public,domains_cover,ISSRefinement.domains_cover,ISSRefinement,,,256,264,9,,,,0,0,1,point_in_pinstr_domain,3,parent_partition_properties;stmt_domain_cut_relation_cover;stmt_partition_refinement,0,,no,yes,no,no,no,yes,no,no,Partition specification,Public declarative ISS shape/refinement vocabulary,Keep definitions stable; they form the interface between checker and semantics.,retain,low,Transitively used by an external root; preserve name and type.
Definition,Public,domains_pairwise_disjoint,ISSRefinement.domains_pairwise_disjoint,ISSRefinement,,,265,274,10,,,,0,0,1,point_in_pinstr_domain,4,domains_pairwise_disjoint_singleton;parent_partition_properties;stmt_domain_cut_relation_disjoint;stmt_partition_refinement,0,,no,yes,no,no,no,yes,no,no,Partition specification,Public declarative ISS shape/refinement vocabulary,Keep definitions stable; they form the interface between checker and semantics.,retain,low,Transitively used by an external root; preserve name and type.
Definition,Public,stmt_partition_refinement,ISSRefinement.stmt_partition_refinement,ISSRefinement,,,275,282,8,,,,0,0,4,domains_all_subset;domains_cover;domains_pairwise_disjoint;payload_eq_except_domain,4,domain_partition_refinement;domain_partition_refinement_from_obligations;domain_partition_refinement_intro;stmt_partition_refinement_singleton,6,src/ISSSemantics.v:239:Refine.stmt_partition_refinement;src/ISSSemantics.v:244:Refine.stmt_partition_refinement;src/ISSSemantics.v:251:Refine.stmt_partition_refinement;src/ISSSemantics.v:257:Refine.stmt_partition_refinement;src/ISSSemantics.v:268:Refine.stmt_partition_refinement;src/ISSSemantics.v:578:Refine.stmt_partition_refinement,yes,yes,no,no,yes,yes,no,no,Partition specification,Public declarative ISS shape/refinement vocabulary,Keep definitions stable; they form the interface between checker and semantics.,retain,low,Direct qualified repository use; preserve name and type.
Definition,Public,parent_witnesses_in_range,ISSRefinement.parent_witnesses_in_range,ISSRefinement,,,283,287,5,,,,0,0,0,,2,domain_partition_refinement;domain_partition_shape,3,src/ISSBoolChecker.v:89:Refine.parent_witnesses_in_range;src/ISSSemantics.v:285:Refine.parent_witnesses_in_range;src/ISSSemantics.v:290:Refine.parent_witnesses_in_range,yes,yes,yes,yes,yes,yes,no,yes,Partition specification,Public declarative ISS shape/refinement vocabulary,Keep definitions stable; they form the interface between checker and semantics.,retain,low,Direct qualified repository use; preserve name and type.
Definition,Public,stmt_payload_matches_witness,ISSRefinement.stmt_payload_matches_witness,ISSRefinement,,,288,295,8,,,,0,0,1,payload_eq_except_domain,2,stmt_parent_payload_relation;stmt_payload_matches_witness_parent,2,src/ISSBoolChecker.v:114:Refine.stmt_payload_matches_witness;src/ISSCutSemantics.v:488:Refine.stmt_payload_matches_witness,yes,yes,yes,yes,yes,yes,no,yes,Partition specification,Public declarative ISS shape/refinement vocabulary,Keep definitions stable; they form the interface between checker and semantics.,retain,low,Direct qualified repository use; preserve name and type.
Definition,Public,stmt_parent_payload_relation,ISSRefinement.stmt_parent_payload_relation,ISSRefinement,,,296,301,6,,,,0,0,1,stmt_payload_matches_witness,2,domain_partition_shape;stmt_parent_payload_relation_children_payload,1,src/ISSBoolChecker.v:140:Refine.stmt_parent_payload_relation,yes,yes,yes,yes,no,yes,no,yes,Partition specification,Public declarative ISS shape/refinement vocabulary,Keep definitions stable; they form the interface between checker and semantics.,retain,low,Direct qualified repository use; preserve name and type.
Definition,Public,domain_partition_shape,ISSRefinement.domain_partition_shape,ISSRefinement,,,302,311,10,,,,0,0,2,parent_witnesses_in_range;stmt_parent_payload_relation,6,domain_partition_complete_cut_shape_obligations;domain_partition_cut_shape;domain_partition_refinement_from_obligations;domain_partition_refinement_intro;domain_partition_shape_stmt_witnesses_length;domain_partition_shape_with_witness,4,src/ISSBoolChecker.v:459:Refine.domain_partition_shape;src/ISSCutSemantics.v:498:Refine.domain_partition_shape;src/ISSCutSemantics.v:1226:Refine.domain_partition_shape;src/ISSValidator.v:30:ISSRefine.domain_partition_shape,yes,yes,yes,yes,yes,yes,yes,yes,Partition specification,Public declarative ISS shape/refinement vocabulary,Keep definitions stable; they form the interface between checker and semantics.,retain,low,Direct qualified repository use; preserve name and type.
Definition,Public,stmt_piece_signs_wf,ISSRefinement.stmt_piece_signs_wf,ISSRefinement,,,312,316,5,,,,0,0,0,,1,stmt_piece_signs_relation,2,src/ISSBoolChecker.v:163:Refine.stmt_piece_signs_wf;src/ISSBoolChecker.v:167:Refine.stmt_piece_signs_wf,yes,yes,yes,yes,no,yes,no,yes,Partition specification,Public declarative ISS shape/refinement vocabulary,Keep definitions stable; they form the interface between checker and semantics.,retain,low,Direct qualified repository use; preserve name and type.
Definition,Public,stmt_domain_matches_cuts,ISSRefinement.stmt_domain_matches_cuts,ISSRefinement,,,317,326,10,,,,0,0,1,iss_piece_constraints,5,stmt_domain_cut_relation;stmt_domain_cut_relation_all_subset;stmt_domain_cut_relation_cover;stmt_domain_cut_relation_disjoint;stmt_domain_matches_cuts_in_domain_iff,2,src/ISSBoolChecker.v:215:Refine.stmt_domain_matches_cuts;src/ISSCutSemantics.v:466:Refine.stmt_domain_matches_cuts,yes,yes,yes,yes,yes,yes,no,yes,Partition specification,Public declarative ISS shape/refinement vocabulary,Keep definitions stable; they form the interface between checker and semantics.,retain,low,Direct qualified repository use; preserve name and type.
Definition,Public,stmt_piece_signs_relation,ISSRefinement.stmt_piece_signs_relation,ISSRefinement,,,327,331,5,,,,0,0,1,stmt_piece_signs_wf,1,domain_partition_cut_shape,1,src/ISSBoolChecker.v:185:Refine.stmt_piece_signs_relation,yes,yes,yes,yes,no,yes,no,yes,Partition specification,Public declarative ISS shape/refinement vocabulary,Keep definitions stable; they form the interface between checker and semantics.,retain,low,Direct qualified repository use; preserve name and type.
Definition,Public,stmt_domain_cut_relation,ISSRefinement.stmt_domain_cut_relation,ISSRefinement,,,332,338,7,,,,0,0,1,stmt_domain_matches_cuts,4,domain_partition_cut_shape;stmt_domain_cut_relation_all_subset;stmt_domain_cut_relation_cover;stmt_domain_cut_relation_disjoint,1,src/ISSBoolChecker.v:245:Refine.stmt_domain_cut_relation,yes,yes,yes,yes,no,yes,no,yes,Partition specification,Public declarative ISS shape/refinement vocabulary,Keep definitions stable; they form the interface between checker and semantics.,retain,low,Direct qualified repository use; preserve name and type.
Definition,Public,domain_partition_cut_shape,ISSRefinement.domain_partition_cut_shape,ISSRefinement,,,339,348,10,,,,0,0,3,domain_partition_shape;stmt_domain_cut_relation;stmt_piece_signs_relation,2,domain_partition_complete_cut_shape;domain_partition_cut_shape_implies_shape,5,src/ISSBoolChecker.v:489:Refine.domain_partition_cut_shape;src/ISSBoolChecker.v:495:Refine.domain_partition_cut_shape;src/ISSCutSemantics.v:474:Refine.domain_partition_cut_shape;src/ISSCutSemantics.v:495:Refine.domain_partition_cut_shape;src/ISSValidator.v:36:ISSRefine.domain_partition_cut_shape,yes,yes,yes,yes,yes,yes,yes,yes,Partition specification,Public declarative ISS shape/refinement vocabulary,Keep definitions stable; they form the interface between checker and semantics.,retain,low,Direct qualified repository use; preserve name and type.
Definition,Public,domain_partition_refinement,ISSRefinement.domain_partition_refinement,ISSRefinement,,,349,363,15,,,,0,0,3,children_for_parent;parent_witnesses_in_range;stmt_partition_refinement,2,domain_partition_refinement_intro;domain_partition_refinement_with_witness,5,src/ISSCutSemantics.v:976:Refine.domain_partition_refinement;src/ISSSemantics.v:264:Refine.domain_partition_refinement;src/ISSSemantics.v:276:Refine.domain_partition_refinement;src/ISSSemantics.v:450:Refine.domain_partition_refinement;src/ISSSemantics.v:553:Refine.domain_partition_refinement,yes,yes,no,no,yes,yes,no,no,Partition specification,Public declarative ISS shape/refinement vocabulary,Keep definitions stable; they form the interface between checker and semantics.,retain,low,Direct qualified repository use; preserve name and type.
Definition,Public,domain_partition_shape_with_witness,ISSRefinement.domain_partition_shape_with_witness,ISSRefinement,,,364,368,5,,,,0,0,1,domain_partition_shape,5,domain_partition_complete_cut_shape_obligations;domain_partition_cut_shape_implies_shape;domain_partition_refinement_from_obligations;domain_partition_refinement_obligations;domain_partition_shape_stmt_witnesses_length,4,src/ISSBoolChecker.v:452:Refine.domain_partition_shape_with_witness;src/ISSBoolChecker.v:458:Refine.domain_partition_shape_with_witness;src/ISSCutSemantics.v:1225:Refine.domain_partition_shape_with_witness;src/ISSValidator.v:33:ISSRefine.domain_partition_shape_with_witness,yes,yes,yes,yes,yes,yes,yes,yes,Partition specification,Public declarative ISS shape/refinement vocabulary,Keep definitions stable; they form the interface between checker and semantics.,retain,low,Direct qualified repository use; preserve name and type.
Definition,Public,domain_partition_refinement_with_witness,ISSRefinement.domain_partition_refinement_with_witness,ISSRefinement,,,369,375,7,,,,0,0,1,domain_partition_refinement,2,domain_partition_refinement_from_complete_cut_shape;domain_partition_refinement_from_obligations,0,,no,yes,no,no,no,yes,no,no,Partition specification,Public declarative ISS shape/refinement vocabulary,Keep definitions stable; they form the interface between checker and semantics.,retain,low,Transitively used by an external root; preserve name and type.
Fixpoint,Public,all_iss_sign_vectors,ISSRefinement.all_iss_sign_vectors,ISSRefinement,,,376,385,10,,,,0,0,0,,5,all_iss_sign_vectors_length;iss_signs_for_point_in_all;parent_sign_partition_complete;parent_sign_partition_complete_has_child;stmt_domain_cut_relation_cover,1,src/ISSBoolChecker.v:378:Refine.all_iss_sign_vectors,yes,yes,yes,yes,no,yes,no,yes,Complete sign partition,Complete/unique sign-vector specification and point classifier,Keep as the central declarative model of cut partitions.,retain,low,Direct qualified repository use; preserve name and type.
Definition,Public,child_signs_for_parent,ISSRefinement.child_signs_for_parent,ISSRefinement,,,386,393,8,,,,0,0,1,child_pairs_for_parent,3,parent_sign_partition_complete;parent_sign_partition_complete_has_child;stmt_domain_cut_relation_disjoint,4,src/ISSBoolChecker.v:375:Refine.child_signs_for_parent;src/ISSBoolChecker.v:387:Refine.child_signs_for_parent;src/ISSCutSemantics.v:370:Refine.child_signs_for_parent;src/ISSCutSemantics.v:385:Refine.child_signs_for_parent,yes,yes,yes,yes,yes,yes,no,yes,Complete sign partition,Complete/unique sign-vector specification and point classifier,Keep as the central declarative model of cut partitions.,retain,low,Direct qualified repository use; preserve name and type.
Definition,Public,parent_sign_partition_complete,ISSRefinement.parent_sign_partition_complete,ISSRefinement,,,394,403,10,,,,0,0,2,all_iss_sign_vectors;child_signs_for_parent,4,cut_partition_complete;parent_sign_partition_complete_has_child;stmt_domain_cut_relation_cover;stmt_domain_cut_relation_disjoint,6,src/ISSBoolChecker.v:383:Refine.parent_sign_partition_complete;src/ISSBoolChecker.v:390:Refine.parent_sign_partition_complete;src/ISSBoolChecker.v:421:Refine.parent_sign_partition_complete;src/ISSCutSemantics.v:365:Refine.parent_sign_partition_complete;src/ISSCutSemantics.v:377:Refine.parent_sign_partition_complete;src/ISSCutSemantics.v:735:Refine.parent_sign_partition_complete,yes,yes,yes,yes,yes,yes,no,yes,Complete sign partition,Complete/unique sign-vector specification and point classifier,Keep as the central declarative model of cut partitions.,retain,low,Direct qualified repository use; preserve name and type.
Definition,Public,cut_partition_complete,ISSRefinement.cut_partition_complete,ISSRefinement,,,404,413,10,,,,0,0,1,parent_sign_partition_complete,1,domain_partition_complete_cut_shape,2,src/ISSBoolChecker.v:549:Refine.cut_partition_complete;src/ISSCutSemantics.v:740:Refine.cut_partition_complete,yes,yes,yes,yes,yes,yes,no,yes,Complete sign partition,Complete/unique sign-vector specification and point classifier,Keep as the central declarative model of cut partitions.,retain,low,Direct qualified repository use; preserve name and type.
Definition,Public,domain_partition_complete_cut_shape,ISSRefinement.domain_partition_complete_cut_shape,ISSRefinement,,,414,419,6,,,,0,0,2,cut_partition_complete;domain_partition_cut_shape,2,domain_partition_complete_cut_shape_obligations;domain_partition_refinement_from_complete_cut_shape,15,src/ISSBoolChecker.v:538:Refine.domain_partition_complete_cut_shape;src/ISSCutSemantics.v:463:Refine.domain_partition_complete_cut_shape;src/ISSCutSemantics.v:472:Refine.domain_partition_complete_cut_shape;src/ISSCutSemantics.v:485:Refine.domain_partition_complete_cut_shape;src/ISSCutSemantics.v:493:Refine.domain_partition_complete_cut_shape;src/ISSCutSemantics.v:508:Refine.domain_partition_complete_cut_shape;src/ISSCutSemantics.v:579:Refine.domain_partition_complete_cut_shape;src/ISSCutSemantics.v:609:Refine.domain_partition_complete_cut_shape;src/ISSCutSemantics.v:738:Refine.domain_partition_complete_cut_shape;src/ISSCutSemantics.v:869:Refine.domain_partition_complete_cut_shape;src/ISSCutSemantics.v:1020:Refine.domain_partition_complete_cut_shape;src/ISSCutSemantics.v:1132:Refine.domain_partition_complete_cut_shape;src/ISSCutSemantics.v:1208:Refine.domain_partition_complete_cut_shape;src/ISSCutSemantics.v:1217:Refine.domain_partition_complete_cut_shape;src/ISSValidator.v:39:ISSRefine.domain_partition_complete_cut_shape,yes,yes,yes,yes,yes,yes,yes,yes,Complete sign partition,Complete/unique sign-vector specification and point classifier,Keep as the central declarative model of cut partitions.,retain,low,Direct qualified repository use; preserve name and type.
Definition,Public,iss_sign_for_point,ISSRefinement.iss_sign_for_point,ISSRefinement,,,420,427,8,,,,0,0,0,,3,iss_sign_for_point_satisfies;iss_signs_for_point;iss_signs_for_point_in_all,0,,no,yes,no,no,no,yes,no,no,Complete sign partition,Complete/unique sign-vector specification and point classifier,Keep as the central declarative model of cut partitions.,retain,low,Transitively used by an external root; preserve name and type.
Fixpoint,Public,iss_signs_for_point,ISSRefinement.iss_signs_for_point,ISSRefinement,,,428,437,10,,,,0,0,1,iss_sign_for_point,3,iss_signs_for_point_in_all;iss_signs_for_point_satisfy;stmt_domain_cut_relation_cover,6,src/ISSCutSemantics.v:517:Refine.iss_signs_for_point;src/ISSCutSemantics.v:549:Refine.iss_signs_for_point;src/ISSCutSemantics.v:587:Refine.iss_signs_for_point;src/ISSCutSemantics.v:746:Refine.iss_signs_for_point;src/ISSCutSemantics.v:764:Refine.iss_signs_for_point;src/ISSCutSemantics.v:804:Refine.iss_signs_for_point,yes,yes,no,no,yes,yes,no,no,Complete sign partition,Complete/unique sign-vector specification and point classifier,Keep as the central declarative model of cut partitions.,retain,low,Direct qualified repository use; preserve name and type.
Definition,Public,parent_partition_properties,ISSRefinement.parent_partition_properties,ISSRefinement,,,438,450,13,,,,0,0,4,children_for_parent;domains_all_subset;domains_cover;domains_pairwise_disjoint,3,domain_partition_complete_cut_shape_obligations;domain_partition_refinement_from_obligations;domain_partition_refinement_obligations,0,,no,yes,no,no,no,yes,no,no,Complete sign partition,Complete/unique sign-vector specification and point classifier,Keep as the central declarative model of cut partitions.,retain,low,Transitively used by an external root; preserve name and type.
Definition,Public,domain_partition_refinement_obligations,ISSRefinement.domain_partition_refinement_obligations,ISSRefinement,,,451,459,9,,,,0,0,2,domain_partition_shape_with_witness;parent_partition_properties,2,domain_partition_complete_cut_shape_obligations;domain_partition_refinement_from_obligations,0,,no,yes,no,no,no,yes,no,no,Complete sign partition,Complete/unique sign-vector specification and point classifier,Keep as the central declarative model of cut partitions.,retain,low,Transitively used by an external root; preserve name and type.
Lemma,Public,domain_partition_cut_shape_implies_shape,ISSRefinement.domain_partition_cut_shape_implies_shape,ISSRefinement,,,460,472,14,464,472,Qed,9,7,2,domain_partition_cut_shape;domain_partition_shape_with_witness,1,domain_partition_complete_cut_shape_obligations,2,src/ISSCutSemantics.v:651:Refine.domain_partition_cut_shape_implies_shape;src/ISSCutSemantics.v:1220:Refine.domain_partition_cut_shape_implies_shape,yes,yes,no,no,yes,yes,no,no,Sign-vector theory,"Construction, satisfaction, completeness, and functionality of point sign vectors",Keep mathematical inductions explicit; only remove unused exported lemmas after an API decision.,retain theory,medium,Direct qualified repository use; preserve name and type.
