section,kind,local,name,line,end_line,span_lines,proof_group,proof_start,proof_end,proof_span_lines,proof_body_lines,proof_body_lines_unique,internal_caller_count,internal_callers,self_ref_count,internal_nonheader_count,interstitial_ref_count,external_confirmed_count,external_confirmed_files,external_bare_candidate_count,reachable_from_confirmed_public,reference_class
Key order and generic list infrastructure,Lemma,False,instr_point_np_ltb_eqb_implies_ltb,160,178,19,instr_point_np_ltb_eqb_implies_ltb,162,178,17,15,15,1,flatten_instrs_after_implies_before_exists_perm_complete_cut_shape,0,1,0,0,,5,True,internal-live
Key order and generic list infrastructure,Lemma,False,instr_point_np_eqb_implies_np_eq,180,197,18,instr_point_np_eqb_implies_np_eq,184,197,14,12,12,1,sortedb_instr_point_np_implies_sorted_np,0,1,0,0,,2,True,internal-live
Key order and generic list infrastructure,Lemma,False,instr_point_np_ltb_implies_np_lt,199,221,23,instr_point_np_ltb_implies_np_lt,203,221,19,17,17,1,sortedb_instr_point_np_implies_sorted_np,0,1,0,0,,2,True,internal-live
Key order and generic list infrastructure,Lemma,False,sortedb_instr_point_np_implies_sorted_np,223,258,36,sortedb_instr_point_np_implies_sorted_np,228,258,31,29,29,1,flatten_instrs_after_implies_before_exists_perm_complete_cut_shape,0,1,0,0,,5,True,internal-live
Mapped instruction-list semantics and schedule order,Lemma,False,instr_point_list_semantics_map_preserved,260,283,24,instr_point_list_semantics_map_preserved,268,283,16,14,14,1,iss_complete_cut_shape_to_before_poly_correct,0,1,0,0,,2,True,internal-live
Mapped instruction-list semantics and schedule order,Lemma,False,HdRel_sched_map_time_stamp_preserved,285,303,19,HdRel_sched_map_time_stamp_preserved,292,303,12,10,10,1,sorted_sched_map_time_stamp_preserved,0,1,0,0,,2,True,internal-live
Mapped instruction-list semantics and schedule order,Lemma,False,sorted_sched_map_time_stamp_preserved,305,329,25,sorted_sched_map_time_stamp_preserved,312,329,18,16,16,1,iss_complete_cut_shape_to_before_poly_correct,0,1,0,0,,2,True,internal-live
Complete-cut child coverage and uniqueness,Lemma,False,NoDup_map_value_unique,331,361,31,NoDup_map_value_unique,338,361,24,22,22,1,child_pair_unique_by_sign,0,1,0,0,,0,True,internal-live
Complete-cut child coverage and uniqueness,Lemma,False,parent_sign_partition_complete_nodup_child_pairs,363,373,11,parent_sign_partition_complete_nodup_child_pairs,367,373,7,5,5,1,before_of_after_point_injective_complete_cut_shape,0,1,0,0,,0,True,internal-live
Complete-cut child coverage and uniqueness,Lemma,False,child_pair_unique_by_sign,375,387,13,child_pair_unique_by_sign,382,387,6,4,4,1,before_of_after_point_injective_complete_cut_shape,0,1,0,0,,0,True,internal-live
Complete-cut child coverage and uniqueness,Lemma,False,NoDup_filter_nth_error_unique,389,437,49,NoDup_filter_nth_error_unique,396,437,42,40,40,1,before_of_after_point_injective_complete_cut_shape,0,1,0,0,,0,True,internal-live
Complete-cut child coverage and uniqueness,Lemma,False,Forall2_nth_error_local,439,456,18,Forall2_nth_error_local,445,456,12,10,10,2,domain_partition_complete_cut_shape_nth_domain_relation;domain_partition_complete_cut_shape_nth_payload_relation,0,2,0,0,,0,True,internal-live
Complete-cut child coverage and uniqueness,Lemma,False,domain_partition_complete_cut_shape_nth_domain_relation,458,478,21,domain_partition_complete_cut_shape_nth_domain_relation,468,478,11,9,9,3,before_of_after_point_injective_complete_cut_shape;complete_cut_shape_after_point_signs_match;complete_cut_shape_after_point_signs_match_nth,0,4,0,0,,0,True,internal-live
Complete-cut child coverage and uniqueness,Lemma,False,domain_partition_complete_cut_shape_nth_payload_relation,480,502,23,domain_partition_complete_cut_shape_nth_payload_relation,489,502,14,12,12,0,,0,0,0,0,,0,False,zero-reference
Complete-cut child coverage and uniqueness,Lemma,False,complete_cut_shape_after_point_signs_match,504,555,52,complete_cut_shape_after_point_signs_match,518,555,38,36,36,1,complete_cut_shape_after_point_signs_match_nth,0,1,0,0,,0,True,internal-live
Complete-cut child coverage and uniqueness,Lemma,False,nth_error_after_stmt_implies_child_pair,557,573,17,nth_error_after_stmt_implies_child_pair,563,573,11,9,9,1,before_of_after_point_injective_complete_cut_shape,0,2,0,0,,0,True,internal-live
Complete-cut child coverage and uniqueness,Lemma,False,complete_cut_shape_after_point_signs_match_nth,575,603,29,complete_cut_shape_after_point_signs_match_nth,588,603,16,14,14,1,before_of_after_point_injective_complete_cut_shape,0,2,0,0,,0,True,internal-live
Parent reconstruction injectivity and NoDup,Lemma,False,before_of_after_point_injective_complete_cut_shape,605,863,259,before_of_after_point_injective_complete_cut_shape,619,863,245,243,243,1,before_ipl_from_after_nodup_complete_cut_shape,0,1,0,0,,0,True,internal-live
Parent reconstruction injectivity and NoDup,Lemma,False,before_ipl_from_after_nodup_complete_cut_shape,865,886,22,before_ipl_from_after_nodup_complete_cut_shape,875,886,12,10,10,1,flatten_instrs_after_implies_before_exists_perm_complete_cut_shape,0,1,0,0,,0,True,internal-live
Parent reconstruction injectivity and NoDup,Lemma,False,NoDup_np_eq_unique_implies_NoDupA,888,918,31,NoDup_np_eq_unique_implies_NoDupA,897,918,22,20,20,1,flatten_instrs_after_implies_before_exists_perm_complete_cut_shape,0,1,0,0,,0,True,internal-live
Parent reconstruction injectivity and NoDup,Lemma,False,lex_compare_eq_same_length_implies_eq_local,920,940,21,lex_compare_eq_same_length_implies_eq_local,925,940,16,14,14,1,belongs_to_same_source_same_np_implies_eq,0,1,0,0,,0,True,internal-live
Parent reconstruction injectivity and NoDup,Lemma,False,belongs_to_same_source_same_np_implies_eq,942,970,29,belongs_to_same_source_same_np_implies_eq,949,970,22,20,20,1,before_ipl_from_after_member_np_eq_implies_eq,0,1,0,0,,0,True,internal-live
Parent reconstruction injectivity and NoDup,Lemma,False,before_ipl_from_after_member_np_eq_implies_eq,972,1014,43,before_ipl_from_after_member_np_eq_implies_eq,985,1014,30,28,28,1,flatten_instrs_after_implies_before_exists_perm_complete_cut_shape,0,1,0,0,,0,True,internal-live
Flattening correspondence,Theorem,False,flatten_instrs_after_implies_before_exists_perm_complete_cut_shape,1016,1126,111,flatten_instrs_after_implies_before_exists_perm_complete_cut_shape,1030,1126,97,95,95,1,iss_complete_cut_shape_to_before_poly_correct,0,1,0,0,,0,True,internal-live
Polyhedral semantic correctness,Theorem,False,iss_complete_cut_shape_to_before_poly_correct,1128,1204,77,iss_complete_cut_shape_to_before_poly_correct,1146,1204,59,57,57,1,iss_complete_cut_shape_to_before_correct,0,1,0,0,,0,True,internal-live
Whole-program semantic correctness,Theorem,False,iss_complete_cut_shape_to_before_correct,1206,1253,48,iss_complete_cut_shape_to_before_correct,1213,1253,41,39,39,0,,0,0,0,1,src/ISSValidatorCorrect.v,0,True,confirmed-external
