name,kind,local,start,end,total_lines,proof_start,proof_end,proof_lines,internal_callers_count,internal_callers,deps_count,deps,external_qualified_count,external_qualified_uses,public_root,public_closure,tactics,role,ownership,audit_action,audit_note,repository_reachability
point_semantics_after_of_before_preserved,Lemma,False,135,148,14,139,148,10,0,,3,find_after_stmt_index;after_of_before_point;instr_point_sema_set_ip_nth,0,,False,False,"{""apply"": 1, ""assert"": 0, ""auto"": 0, ""destruct"": 1, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 1}",unused before-to-after search route,abandoned/unfinished compatibility route,retire or isolate,"No repository caller; only one-way search soundness is proved, not completeness or a flatten-list correspondence.",outside external-root closure
before_of_after_point_time_stamp_preserved,Lemma,False,150,158,9,154,158,5,0,,2,set_ip_nth;before_of_after_point,1,src/ISSCutSemantics.v:1182,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 1}",active after-to-before point map,ISSSemantics representation layer,keep,Keep the current path; group definitions and invariance lemmas under explicit section headings.,qualified external root
after_of_before_point_time_stamp_preserved,Lemma,False,160,172,13,164,172,9,0,,2,find_after_stmt_index;after_of_before_point,0,,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 1, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 1}",unused before-to-after search route,abandoned/unfinished compatibility route,retire or isolate,"No repository caller; only one-way search soundness is proved, not completeness or a flatten-list correspondence.",outside external-root closure
payload_eq_except_domain_implies_depth,Lemma,False,174,182,9,178,182,5,2,before_ipl_from_after_forward;before_ipl_from_after_backward,0,,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 1}",refinement projection/correspondence fact,ISSRefinement,move/wrap,Place beside the Refine definition it eliminates; retain this path as a wrapper if external compatibility is required.,dependency of external root
payload_eq_except_domain_transfer_belongs_to,Lemma,False,184,209,26,190,209,20,1,before_ipl_from_after_forward,0,,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 2, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 1, ""rewrite"": 5, ""specialize"": 0, ""subst"": 0, ""unfold"": 3}",refinement projection/correspondence fact,ISSRefinement,move/wrap,Place beside the Refine definition it eliminates; retain this path as a wrapper if external compatibility is required.,dependency of external root
payload_eq_except_domain_transfer_belongs_to_child,Lemma,True,211,235,25,217,235,19,1,before_ipl_from_after_backward,0,,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 2, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 1, ""rewrite"": 4, ""specialize"": 0, ""subst"": 0, ""unfold"": 3}",refinement projection/correspondence fact,ISSRefinement,move/wrap,Place beside the Refine definition it eliminates; retain this path as a wrapper if external compatibility is required.,dependency of external root
stmt_partition_refinement_payload_of_child,Lemma,False,237,247,11,242,247,6,1,before_ipl_from_after_forward,0,,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 1, ""eapply"": 1, ""eauto"": 1, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 1}",refinement projection/correspondence fact,ISSRefinement,move/wrap,Place beside the Refine definition it eliminates; retain this path as a wrapper if external compatibility is required.,dependency of external root
stmt_partition_refinement_subset_of_child,Lemma,False,249,260,12,255,260,6,1,before_ipl_from_after_forward,0,,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 1, ""eapply"": 1, ""eauto"": 1, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 1}",refinement projection/correspondence fact,ISSRefinement,move/wrap,Place beside the Refine definition it eliminates; retain this path as a wrapper if external compatibility is required.,dependency of external root
domain_partition_refinement_parent_stmt,Lemma,False,262,281,20,271,281,11,2,before_ipl_from_after_forward;before_ipl_from_after_backward,0,,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 3, ""eapply"": 1, ""eauto"": 1, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 1}",refinement projection/correspondence fact,ISSRefinement,move/wrap,Place beside the Refine definition it eliminates; retain this path as a wrapper if external compatibility is required.,dependency of external root
parent_witnesses_in_range_nth,Lemma,False,283,293,11,288,293,6,1,before_ipl_from_after_forward,0,,0,,False,True,"{""apply"": 1, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 1, ""eauto"": 1, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 1}",refinement projection/correspondence fact,ISSRefinement,move/wrap,Place beside the Refine definition it eliminates; retain this path as a wrapper if external compatibility is required.,dependency of external root
in_combine_nth_error_local,Lemma,False,295,314,20,301,314,14,1,child_in_children_for_parent_inv,0,,0,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 4, ""eapply"": 0, ""eauto"": 0, ""inversion"": 1, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 1, ""unfold"": 0}",generic combine/nth_error list fact,Misc or ListExt,reuse/wrap,Derive directly from Misc.nth_error_combine; preserve nth_error_combine_local because ISSCutSemantics uses its path.,dependency of external root
nth_error_combine_local,Lemma,False,316,333,18,321,333,13,1,nth_error_after_stmt_implies_child,0,,3,src/ISSCutSemantics.v:569;src/ISSCutSemantics.v:813;src/ISSCutSemantics.v:820,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 4, ""eapply"": 1, ""eauto"": 1, ""inversion"": 4, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 1, ""unfold"": 0}",generic combine/nth_error list fact,Misc or ListExt,reuse/wrap,Derive directly from Misc.nth_error_combine; preserve nth_error_combine_local because ISSCutSemantics uses its path.,qualified external root
nth_error_after_stmt_implies_child,Lemma,False,335,356,22,342,356,15,1,before_ipl_from_after_forward,1,nth_error_combine_local,0,,False,True,"{""apply"": 3, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 2, ""eauto"": 1, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 1}",refinement projection/correspondence fact,ISSRefinement,move/wrap,Place beside the Refine definition it eliminates; retain this path as a wrapper if external compatibility is required.,dependency of external root
find_after_stmt_index_sound,Lemma,False,358,399,42,366,399,34,0,,1,find_after_stmt_index,0,,False,False,"{""apply"": 1, ""assert"": 0, ""auto"": 2, ""destruct"": 8, ""eapply"": 0, ""eauto"": 0, ""inversion"": 3, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 2, ""rewrite"": 0, ""specialize"": 0, ""subst"": 3, ""unfold"": 1}",unused before-to-after search route,abandoned/unfinished compatibility route,retire or isolate,"No repository caller; only one-way search soundness is proved, not completeness or a flatten-list correspondence.",outside external-root closure
child_in_children_for_parent_inv,Lemma,False,401,423,23,408,423,16,1,before_ipl_from_after_backward,1,in_combine_nth_error_local,0,,False,True,"{""apply"": 3, ""assert"": 0, ""auto"": 1, ""destruct"": 3, ""eapply"": 0, ""eauto"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 1, ""rewrite"": 0, ""specialize"": 0, ""subst"": 1, ""unfold"": 1}",refinement projection/correspondence fact,ISSRefinement,move/wrap,Place beside the Refine definition it eliminates; retain this path as a wrapper if external compatibility is required.,dependency of external root
NoDupA_np_implies_NoDup,Lemma,False,425,444,20,429,444,16,0,,0,,0,,False,False,"{""apply"": 2, ""assert"": 0, ""auto"": 0, ""destruct"": 1, ""eapply"": 2, ""eauto"": 1, ""inversion"": 1, ""lia"": 0, ""nia"": 0, ""pose proof"": 1, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 1, ""unfold"": 0}",relation-to-equality list fact,dead local support or generic SetoidList helper,remove or move,No caller; current proof uses the converse construction in ISSCutSemantics instead.,outside external-root closure
before_ipl_from_after_forward,Lemma,False,446,547,102,462,547,86,0,,12,set_ip_nth;before_parent_nth;before_of_after_point;before_ipl_from_after;belongs_to_set_ip_nth_iff;payload_eq_except_domain_implies_depth;payload_eq_except_domain_transfer_belongs_to;stmt_partition_refinement_payload_of_child;stmt_partition_refinement_subset_of_child;domain_partition_refinement_parent_stmt;parent_witnesses_in_range_nth;nth_error_after_stmt_implies_child,3,src/ISSCutSemantics.v:991;src/ISSCutSemantics.v:998;src/ISSCutSemantics.v:1074,True,True,"{""apply"": 4, ""assert"": 5, ""auto"": 0, ""destruct"": 7, ""eapply"": 6, ""eauto"": 5, ""inversion"": 0, ""lia"": 2, ""nia"": 0, ""pose proof"": 3, ""repeat"": 0, ""rewrite"": 3, ""specialize"": 2, ""subst"": 1, ""unfold"": 3}",flattened-list representation theorem,ISSSemantics central boundary,keep/refactor,Present as the two directions of one membership iff; preserve both existing theorem names as wrappers.,qualified external root
before_ipl_from_after_backward,Lemma,False,549,626,78,564,624,61,0,,9,set_ip_nth;before_parent_nth;before_of_after_point;before_ipl_from_after;belongs_to_set_ip_nth_iff;payload_eq_except_domain_implies_depth;payload_eq_except_domain_transfer_belongs_to_child;domain_partition_refinement_parent_stmt;child_in_children_for_parent_inv,1,src/ISSCutSemantics.v:1082,True,True,"{""apply"": 2, ""assert"": 4, ""auto"": 0, ""destruct"": 4, ""eapply"": 3, ""eauto"": 3, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 2, ""repeat"": 0, ""rewrite"": 3, ""specialize"": 0, ""subst"": 0, ""unfold"": 4}",flattened-list representation theorem,ISSSemantics central boundary,keep/refactor,Present as the two directions of one membership iff; preserve both existing theorem names as wrappers.,qualified external root
