kind,visibility,name,qualified_name,module_path,section_path,mutual_parent,decl_line,decl_end_line,declaration_span_lines,proof_line,proof_end_line,proof_terminator,proof_span_lines,proof_body_nonblank_lines,internal_dependencies_count,internal_dependencies,internal_callers_count,internal_callers,qualified_external_use_count,qualified_external_uses,confirmed_external_root,reachable_from_any_external_root,config_root,reachable_from_config_root,layer,responsibility,hidden_structure,recommended_refactor,priority,refactor_risk,api_constraint
Lemma,Public,diamond_phase_pipeline_opt_prepared_from_poly_no_iss_poly_wf,ParallelPolOptCorrect.diamond_phase_pipeline_opt_prepared_from_poly_no_iss_poly_wf,ParallelPolOptCorrect,,,538,554,18,543,554,Qed,12,10,2,reject_tiling_contradiction;try_diamond_phase_pipeline_from_source_pol_poly_wf,3,parallel_current_diamond_prepared_from_poly_correct;parallel_current_many_diamond_prepared_from_poly_correct;vector_current_diamond_prepared_from_poly_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,try_diamond_phase_pipeline_from_source_pol_poly_with_iss_correct,ParallelPolOptCorrect.try_diamond_phase_pipeline_from_source_pol_poly_with_iss_correct,ParallelPolOptCorrect,,,556,597,43,566,597,Qed,32,30,2,reject_tiling_contradiction;try_verified_diamond_after_phase_mid_poly_correct,1,try_checked_iss_diamond_phase_pipeline_from_poly_poly_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",medium: nested executable-route inversion dominates the proof,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,try_diamond_phase_pipeline_from_source_pol_poly_with_iss_wf,ParallelPolOptCorrect.try_diamond_phase_pipeline_from_source_pol_poly_with_iss_wf,ParallelPolOptCorrect,,,599,624,27,607,624,Qed,18,16,2,reject_tiling_contradiction;try_verified_diamond_after_phase_mid_poly_wf,1,try_checked_iss_diamond_phase_pipeline_from_poly_poly_wf,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,try_checked_iss_diamond_phase_pipeline_from_poly_poly_correct,ParallelPolOptCorrect.try_checked_iss_diamond_phase_pipeline_from_poly_poly_correct,ParallelPolOptCorrect,,,626,667,43,636,667,Qed,32,30,2,try_diamond_phase_pipeline_from_source_pol_poly_correct;try_diamond_phase_pipeline_from_source_pol_poly_with_iss_correct,1,diamond_phase_pipeline_opt_prepared_from_poly_with_iss_poly_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",medium: nested executable-route inversion dominates the proof,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,try_checked_iss_diamond_phase_pipeline_from_poly_poly_wf,ParallelPolOptCorrect.try_checked_iss_diamond_phase_pipeline_from_poly_poly_wf,ParallelPolOptCorrect,,,669,695,28,677,695,Qed,19,17,2,try_diamond_phase_pipeline_from_source_pol_poly_wf;try_diamond_phase_pipeline_from_source_pol_poly_with_iss_wf,1,diamond_phase_pipeline_opt_prepared_from_poly_with_iss_poly_wf,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,diamond_phase_pipeline_opt_prepared_from_poly_with_iss_poly_correct,ParallelPolOptCorrect.diamond_phase_pipeline_opt_prepared_from_poly_with_iss_poly_correct,ParallelPolOptCorrect,,,697,716,21,704,716,Qed,13,11,2,reject_tiling_contradiction;try_checked_iss_diamond_phase_pipeline_from_poly_poly_correct,3,parallel_current_diamond_prepared_from_poly_with_iss_correct;parallel_current_many_diamond_prepared_from_poly_with_iss_correct;vector_current_diamond_prepared_from_poly_with_iss_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,diamond_phase_pipeline_opt_prepared_from_poly_with_iss_poly_wf,ParallelPolOptCorrect.diamond_phase_pipeline_opt_prepared_from_poly_with_iss_poly_wf,ParallelPolOptCorrect,,,718,734,18,723,734,Qed,12,10,2,reject_tiling_contradiction;try_checked_iss_diamond_phase_pipeline_from_poly_poly_wf,3,parallel_current_diamond_prepared_from_poly_with_iss_correct;parallel_current_many_diamond_prepared_from_poly_with_iss_correct;vector_current_diamond_prepared_from_poly_with_iss_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,phase_pipeline_opt_prepared_from_poly_no_iss_poly_correct,ParallelPolOptCorrect.phase_pipeline_opt_prepared_from_poly_no_iss_poly_correct,ParallelPolOptCorrect,,,736,755,21,743,755,Qed,13,11,2,reject_tiling_contradiction;try_phase_pipeline_from_source_pol_poly_correct,3,parallel_current_many_prepared_from_poly_correct;parallel_current_prepared_from_poly_correct;vector_current_prepared_from_poly_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,phase_pipeline_opt_prepared_from_poly_no_iss_poly_wf,ParallelPolOptCorrect.phase_pipeline_opt_prepared_from_poly_no_iss_poly_wf,ParallelPolOptCorrect,,,757,773,18,762,773,Qed,12,10,2,reject_tiling_contradiction;try_phase_pipeline_from_source_pol_poly_wf,3,parallel_current_many_prepared_from_poly_correct;parallel_current_prepared_from_poly_correct;vector_current_prepared_from_poly_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,identity_tiling_opt_prepared_from_poly_no_iss_poly_correct,ParallelPolOptCorrect.identity_tiling_opt_prepared_from_poly_no_iss_poly_correct,ParallelPolOptCorrect,,,775,794,21,782,794,Qed,13,11,2,reject_tiling_contradiction;try_identity_tiling_phase_pipeline_from_source_pol_poly_correct,4,identity_tiling_opt_prepared_from_poly_with_iss_poly_correct;parallel_current_identity_tiled_prepared_from_poly_correct;parallel_current_many_identity_tiled_prepared_from_poly_correct;vector_current_identity_tiled_prepared_from_poly_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,identity_tiling_opt_prepared_from_poly_no_iss_poly_wf,ParallelPolOptCorrect.identity_tiling_opt_prepared_from_poly_no_iss_poly_wf,ParallelPolOptCorrect,,,796,812,18,801,812,Qed,12,10,2,reject_tiling_contradiction;try_identity_tiling_phase_pipeline_from_source_pol_poly_wf,4,identity_tiling_opt_prepared_from_poly_with_iss_poly_wf;parallel_current_identity_tiled_prepared_from_poly_correct;parallel_current_many_identity_tiled_prepared_from_poly_correct;vector_current_identity_tiled_prepared_from_poly_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,try_checked_iss_phase_pipeline_from_poly_poly_correct,ParallelPolOptCorrect.try_checked_iss_phase_pipeline_from_poly_poly_correct,ParallelPolOptCorrect,,,814,857,45,823,857,Qed,35,33,1,try_phase_pipeline_from_source_pol_poly_correct,1,phase_pipeline_opt_prepared_from_poly_with_iss_poly_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",medium: nested executable-route inversion dominates the proof,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,try_checked_iss_phase_pipeline_from_poly_poly_wf,ParallelPolOptCorrect.try_checked_iss_phase_pipeline_from_poly_poly_wf,ParallelPolOptCorrect,,,859,884,27,866,884,Qed,19,17,1,try_phase_pipeline_from_source_pol_poly_wf,1,phase_pipeline_opt_prepared_from_poly_with_iss_poly_wf,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,phase_pipeline_opt_prepared_from_poly_with_iss_poly_correct,ParallelPolOptCorrect.phase_pipeline_opt_prepared_from_poly_with_iss_poly_correct,ParallelPolOptCorrect,,,886,905,21,893,905,Qed,13,11,2,reject_tiling_contradiction;try_checked_iss_phase_pipeline_from_poly_poly_correct,3,parallel_current_many_prepared_from_poly_with_iss_correct;parallel_current_prepared_from_poly_with_iss_correct;vector_current_prepared_from_poly_with_iss_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,phase_pipeline_opt_prepared_from_poly_with_iss_poly_wf,ParallelPolOptCorrect.phase_pipeline_opt_prepared_from_poly_with_iss_poly_wf,ParallelPolOptCorrect,,,907,923,18,912,923,Qed,12,10,2,reject_tiling_contradiction;try_checked_iss_phase_pipeline_from_poly_poly_wf,3,parallel_current_many_prepared_from_poly_with_iss_correct;parallel_current_prepared_from_poly_with_iss_correct;vector_current_prepared_from_poly_with_iss_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,iss_only_prepared_from_poly_correct,ParallelPolOptCorrect.iss_only_prepared_from_poly_correct,ParallelPolOptCorrect,,,925,956,33,932,956,Qed,25,23,0,,5,identity_tiling_opt_prepared_from_poly_with_iss_poly_correct;iss_affine_prepared_from_poly_correct;parallel_current_identity_prepared_from_poly_with_iss_correct;parallel_current_many_identity_prepared_from_poly_with_iss_correct;vector_current_identity_prepared_from_poly_with_iss_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,iss_only_prepared_from_poly_wf_affine,ParallelPolOptCorrect.iss_only_prepared_from_poly_wf_affine,ParallelPolOptCorrect,,,958,983,27,963,983,Qed,21,19,0,,7,identity_tiling_opt_prepared_from_poly_with_iss_poly_correct;identity_tiling_opt_prepared_from_poly_with_iss_poly_wf;iss_affine_prepared_from_poly_correct;iss_affine_prepared_from_poly_wf_affine;parallel_current_identity_prepared_from_poly_with_iss_correct;parallel_current_many_identity_prepared_from_poly_with_iss_correct;vector_current_identity_prepared_from_poly_with_iss_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
Lemma,Public,identity_tiling_opt_prepared_from_poly_with_iss_poly_correct,ParallelPolOptCorrect.identity_tiling_opt_prepared_from_poly_with_iss_poly_correct,ParallelPolOptCorrect,,,985,1012,29,992,1012,Qed,21,19,3,identity_tiling_opt_prepared_from_poly_no_iss_poly_correct;iss_only_prepared_from_poly_correct;iss_only_prepared_from_poly_wf_affine,3,parallel_current_identity_tiled_prepared_from_poly_with_iss_correct;parallel_current_many_identity_tiled_prepared_from_poly_with_iss_correct;vector_current_identity_tiled_prepared_from_poly_with_iss_correct,0,,no,yes,no,yes,Polyhedral preprocessing,"Driver orchestration of ISS, affine validation, tiling validation, fallback, and well-formedness",low,Own orchestration here; keep transformation theory in ISS/affine/tiling modules. Pair semantic and wf proofs through a private route-spec helper.,P1,medium,Exported and transitively used by a config entry; preserve name and type.
