name,kind,start,end,total_lines,proof_start,proof_end,proof_lines,deps_count,deps,internal_callers_count,internal_callers,external_qualified_count,external_qualified_uses,public_root,public_closure,role,ownership,audit_action,audit_note
check_well_formed_tile_linksb_sound,Lemma,95,110,16,99,110,12,1,check_well_formed_tile_linksb,1,check_statement_tiling_witnessb_sound,0,,False,True,link-shape soundness,tiling witness checker,keep/organize,Keep near its checker/spec pair; no separate low-level issue found.
forallb_link_params_positive_sound,Lemma,112,138,27,124,138,15,1,check_tile_link_positiveb,1,check_statement_tiling_witnessb_sound,0,,False,True,list reflection helper,generic Forall/forallb utility,generalize/localize,A generic forallb-to-Forall combinator can separate traversal from link-specific atom reflection.
check_statement_tiling_witnessb_sound,Lemma,140,164,25,145,164,20,4,Tiling;check_statement_tiling_witnessb;check_well_formed_tile_linksb_sound;forallb_link_params_positive_sound,2,check_pinstr_tiling_compiledb_sound;check_pinstr_tiling_sourceb_sound,0,,False,True,statement witness soundness,tiling witness checker,keep/organize,Keep near its checker/spec pair; no separate low-level issue found.
check_pinstr_tiling_compiledb,Definition,166,195,30,,,0,3,Tiling;PL;check_statement_tiling_witnessb,2,check_pinstr_tiling_compiledb_sound;check_pinstr_list_tiling_compiledb,0,,False,False,compiled-form statement structure checker,legacy/alternate structural facade,audit/retain compatibility,No qualified repository use found; whole compiled checker branch is outside the active root closure.
check_pinstr_tiling_sourceb,Definition,197,227,31,,,0,3,Tiling;PL;check_statement_tiling_witnessb,2,check_pinstr_tiling_sourceb_sound;check_pinstr_list_tiling_sourceb,0,,False,True,source-form statement structure checker,active structural checker,keep/refactor,Checks structural source-to-tiled representation; deliberately does not inspect pi_schedule.
check_pinstr_tiling_compiledb_sound,Lemma,229,269,41,236,269,34,4,Tiling;PL;check_statement_tiling_witnessb_sound;check_pinstr_tiling_compiledb,1,check_pinstr_list_tiling_compiledb_sound,0,,False,False,compiled-form statement checker soundness,legacy/alternate structural facade,audit/retain compatibility,No qualified repository use found; proof is conjunction decoding only.
check_pinstr_tiling_sourceb_sound,Lemma,271,315,45,280,315,36,4,Tiling;PL;check_statement_tiling_witnessb_sound;check_pinstr_tiling_sourceb,1,check_pinstr_list_tiling_sourceb_sound,0,,False,True,source-form statement checker soundness,active structural checker,keep/refactor,Decodes exact field equalities into TilingRelation plus witness side conditions.
check_pinstr_list_tiling_compiledb,Fixpoint,317,327,11,,,0,2,PL;check_pinstr_tiling_compiledb,2,check_pinstr_list_tiling_compiledb_sound;check_pprog_tiling_compiledb,0,,False,False,compiled-form statement-list checker,legacy/alternate structural facade,audit/retain compatibility,No qualified repository use found; compiled branch compatibility candidate.
check_pinstr_list_tiling_sourceb,Fixpoint,329,339,11,,,0,2,PL;check_pinstr_tiling_sourceb,2,check_pinstr_list_tiling_sourceb_sound;check_pprog_tiling_sourceb,0,,False,True,source-form statement-list checker,active structural checker,keep/refactor,Keep near its checker/spec pair; no separate low-level issue found.
check_pinstr_list_tiling_compiledb_sound,Lemma,341,369,29,349,369,21,4,Tiling;PL;check_pinstr_tiling_compiledb_sound;check_pinstr_list_tiling_compiledb,1,check_pprog_tiling_compiledb_sound,0,,False,False,compiled-form list checker soundness,legacy/alternate structural facade,audit/retain compatibility,No qualified repository use found; mirrors active source list proof.
check_pinstr_list_tiling_sourceb_sound,Lemma,371,405,35,383,405,23,4,Tiling;PL;check_pinstr_tiling_sourceb_sound;check_pinstr_list_tiling_sourceb,1,check_pprog_tiling_sourceb_sound,0,,False,True,source-form list checker soundness,active structural checker,keep/refactor,Keep near its checker/spec pair; no separate low-level issue found.
check_pprog_tiling_compiledb,Definition,407,417,11,,,0,4,PL;ctxt_eqb;ctxt_ty_eqb;check_pinstr_list_tiling_compiledb,1,check_pprog_tiling_compiledb_sound,0,,False,False,compiled-form program checker,legacy/alternate structural facade,audit/retain compatibility,No qualified repository use found; top of inactive compiled checker branch.
check_pprog_tiling_sourceb,Definition,419,429,11,,,0,4,PL;ctxt_eqb;ctxt_ty_eqb;check_pinstr_list_tiling_sourceb,1,check_pprog_tiling_sourceb_sound,57,src/TilingBandDirectRuntime.v:86;src/TilingBandDirectRuntime.v:146;src/TilingBandDirectRuntime.v:153;src/TilingBandDirectRuntime.v:167;src/TilingBandDirectRuntime.v:233;src/TilingBandDirectRuntime.v:334;src/TilingBandDirectRuntime.v:495;src/TilingValidator.v:1005;src/TilingValidator.v:1061;src/TilingValidator.v:1092;src/TilingValidator.v:1142;src/TilingBandMixedSecondValidator.v:2774;src/TilingBandMixedSecondValidator.v:2799;src/TilingBandMixedSecondValidator.v:2819;src/TilingBandMixedSecondValidator.v:2963;src/TilingBandMixedSecondValidator.v:2982;src/TilingBandMixedSecondValidator.v:2999;src/TilingBandScheduleValidator.v:8821;src/TilingBandScheduleValidator.v:8933;src/TilingBandScheduleValidator.v:12923;src/TilingBandScheduleValidator.v:13020;src/TilingBandScheduleValidator.v:13078;src/TilingBandScheduleValidator.v:13152;src/TilingBandScheduleValidator.v:13187;src/TilingBandScheduleValidator.v:13228;src/TilingBandScheduleValidator.v:15511;src/TilingBandScheduleValidator.v:16375;src/TilingBandScheduleValidator.v:16386;src/TilingBandScheduleValidator.v:16418;src/TilingBandScheduleValidator.v:17522;src/TilingBandScheduleValidator.v:19296;src/TilingBandScheduleValidator.v:20648;src/TilingBandScheduleValidator.v:20788;src/TilingBandScheduleValidator.v:20816;src/TilingBandScheduleValidator.v:20960;src/TilingBandScheduleValidator.v:23091;src/TilingBandScheduleValidator.v:23918;src/TilingBandScheduleValidator.v:24048;src/TilingBandScheduleValidator.v:24063;src/TilingBandScheduleValidator.v:24073;src/TilingBandScheduleValidator.v:24633;src/TilingBandScheduleValidator.v:26437;src/TilingBandScheduleValidator.v:27358;src/TilingBandScheduleValidator.v:28367;src/TilingBandScheduleValidator.v:28467;src/TilingBandScheduleValidator.v:28594;src/TilingBandScheduleValidator.v:28651;src/TilingBandScheduleValidator.v:28658;src/TilingBandPhaseScalarValidator.v:1222;src/TilingBandPhaseScalarValidator.v:1599;src/TilingBandPhaseScalarValidator.v:1619;src/TilingBandPhaseScalarValidator.v:1636;src/TilingCanonicalScheduleValidator.v:139;src/TilingCanonicalScheduleValidator.v:182;src/Validator.v:97;syntax/STilingOpt.v:11;driver/PolOpt.v:490,True,True,source-form program checker,active structural gate,keep,Active gate used by TilingValidator and all direct/permutable-band routes.
check_pprog_tiling_compiledb_sound,Lemma,431,468,38,444,468,25,6,Tiling;PL;ctxt_eqb_eq;ctxt_ty_eqb_eq;check_pinstr_list_tiling_compiledb_sound;check_pprog_tiling_compiledb,0,,0,,False,False,compiled-form program checker soundness,legacy/alternate structural facade,audit/retain compatibility,No qualified repository use found; retain only for intended external API.
check_pprog_tiling_sourceb_sound,Lemma,470,513,44,489,513,25,6,Tiling;PL;ctxt_eqb_eq;ctxt_ty_eqb_eq;check_pinstr_list_tiling_sourceb_sound;check_pprog_tiling_sourceb,0,,27,src/TilingBandDirectRuntime.v:257;src/TilingBandDirectRuntime.v:356;src/TilingBandDirectRuntime.v:504;src/TilingValidator.v:1025;src/TilingBandMixedSecondValidator.v:2890;src/TilingBandMixedSecondValidator.v:3085;src/TilingBandScheduleValidator.v:8841;src/TilingBandScheduleValidator.v:10765;src/TilingBandScheduleValidator.v:11029;src/TilingBandScheduleValidator.v:12939;src/TilingBandScheduleValidator.v:13046;src/TilingBandScheduleValidator.v:13104;src/TilingBandScheduleValidator.v:13296;src/TilingBandScheduleValidator.v:17544;src/TilingBandScheduleValidator.v:19320;src/TilingBandScheduleValidator.v:20676;src/TilingBandScheduleValidator.v:20844;src/TilingBandScheduleValidator.v:23146;src/TilingBandScheduleValidator.v:24120;src/TilingBandScheduleValidator.v:26457;src/TilingBandScheduleValidator.v:27384;src/TilingBandScheduleValidator.v:28390;src/TilingBandScheduleValidator.v:28490;src/TilingBandPhaseScalarValidator.v:1259;src/TilingBandPhaseScalarValidator.v:1696;src/TilingCanonicalScheduleValidator.v:159;src/TilingCanonicalScheduleValidator.v:215,True,True,source-form program checker soundness,active structural gate,keep,Boundary theorem consumed before schedule/permutable-band reasoning.
